nome_marca,nome_modelo,ano_modelo,preco_limpo,eh_zero_km
BMW,R 1100 GS,1995,19721.0,False
BMW,R 1100 GS,1999,21968.0,False
BMW,R 1100 GS,1998,21427.0,False
BMW,R 1100 GS-75,1998,21440.0,False
BMW,R 1100 GS-75,1999,21976.0,False
BMW,R 1100 GS,1997,20719.0,False
BMW,R 1100 R,2001,23046.0,False
BMW,R 1100 R,1999,21934.0,False
BMW,R 1100 R,2000,22483.0,False
BMW,R 1100 RS,1993,14681.0,False
BMW,R 1100 R,1997,20577.0,False
BMW,R 1100 RS,1994,17339.0,False
BMW,R 1100 RS,1997,20739.0,False
BMW,R 1100 R,1998,21399.0,False
BMW,R 1100 R,1996,20072.0,False
BMW,R 1100 R,1995,18468.0,False
BMW,R 1100 RS,1996,20234.0,False
BMW,R 1100 RS,1995,19740.0,False
BMW,R 1100 S,2005,29582.0,False
BMW,R 1100 RT,2001,30797.0,False
BMW,R 1100 RT,1998,27186.0,False
BMW,R 1100 RT,1999,27866.0,False
BMW,R 1100 S,1999,22191.0,False
BMW,R 1100 S,2001,23822.0,False
BMW,R 1100 S,2004,28860.0,False
BMW,R 1100 S,1998,21577.0,False
BMW,R 1100 S,2000,22760.0,False
BMW,R 1100 RT,1997,25788.0,False
BMW,R 1100 RT,1996,24714.0,False
BMW,R 1100 RT,2000,30045.0,False
BMW,R 1100 S,2002,27230.0,False
BMW,R 1100 S,2003,28156.0,False
BMW,R 1150 GS,1999,26191.0,False
BMW,R 1150 GS,2003,33639.0,False
BMW,R 1150 GS,2000,28794.0,False
